Identifiant;Type de Vin;Pays;Région Viticole;Sous Région;Appellation;Type d’Appellation;Classification;Domaine ou Château;Nom de la Cuvée;Année du Millésime;Degré d'alcool;Quantité en Stock;Nom de la Cave;Emplacement;Position (X-Y);Couleur;Jeunesse Min;Jeunesse Max;Maturité Min;Maturité Max;Apogée Min;Apogée Max;Déclin Min;Déclin Max;Phases de vieillissement;Gamme du vin;Commentaires;Date Dernier Achat;Prix Unitaire Dernier Achat;Prix Total Achat;Prix Marché Unitaire Actuelle;Valeur Totale;Tendance prix;Type de Conditionnement;Type Achat;Lieu Achat;Date Dernière Sortie;Note Dernière Sortie;Mes listes;Cépages;Listes;Champ personnalisé
2236862;Vins;France;Bordeaux;Appellation régionale;Bordeaux supérieur;AOC;;Château Haut-Peyrat;Prélude;2016;13,5;1;Ma cave;2;A5;Rouge;0;0;0;0;2022;2025;0;0;Déclin;Intermédiaire;;;0;0;21,6;21,6;Baisse;Bouteille (75cl);;;;;;Merlot 70%, Cabernet Sauvignon 25%, Cabernet Franc 5%;;
2236798;Vins;France;Bordeaux;Graves;Graves;AOC;;Tutiac;Réserve;2019;13;1;Ma cave;2;A1;Rouge;0;0;0;0;2026;2030;0;0;Apogée;Accessibles;;;0;0;8,5;8,5;;Bouteille (75cl);;;;;;Merlot 60%, Cabernet Sauvignon 40%;;
2237159;Vins;France;Bordeaux;Graves;Graves;AOC;;Château Cabannieux;;2012;13,5;1;Ma cave;3;A4;Rouge;0;0;0;0;2018;2023;0;0;Déclin;Intermédiaire;;;0;0;13,95;13,95;Baisse;Bouteille (75cl);;;;;;Cabernet Sauvignon 50%, Cabernet Franc 45%, Merlot 5%;;
2236873;Vins;France;Bordeaux;Appellation régionale;Bordeaux supérieur;AOC;;Château Pascaud;;2016;13,5;1;Ma cave;2;A6;Rouge;0;0;0;0;2022;2024;0;0;Déclin;Accessibles;;;0;0;8,5;8,5;;Bouteille (75cl);;;;;;Merlot 70%, Cabernet Sauvignon 20%, Cabernet Franc 10%;;
2236306;Vins;France;Bordeaux;Le Libournais;Montagne-saint-émilion;AOC;;Château Rocher Gardat;;2018;14,5;3;Ma cave;Non spécifié;;Rouge;0;0;0;0;2027;2029;0;0;Maturité;Intermédiaire;;;0;0;12,5;37,5;Baisse;Bouteille (75cl);;;;;;Cabernet Franc 10%, Merlot 90%;;
2237380;Vins;France;Bordeaux;Le Libournais;Saint-Émilion;AOC;;Château Les Places;;1978;;1;Ma cave;4;B2;Rouge;0;0;0;0;1990;2002;0;0;Déclin;Premium;;;0;0;55;55;;Bouteille (75cl);;;;;;Merlot 70%, Cabernet Franc 20%, Cabernet Sauvignon 10%;;
2236716;Vins;France;Bordeaux;Médoc;Haut-Médoc;AOC;;Château Raux;;2022;14;1;Ma cave;1;A6;Rouge;0;0;0;0;2029;2036;0;0;Maturité;Intermédiaire;;;0;0;11,5;11,5;;Bouteille (75cl);;;;;;Merlot 60%, Cabernet Sauvignon 35%, Petit Verdot 5%;;
2237279;Vins;France;Bordeaux;Graves;Graves;AOC;;Château Caillivet;;2016;13,5;1;Ma cave;4;A2;Rouge;0;0;0;0;2023;2027;0;0;Apogée;Intermédiaire;;;0;0;13,5;13,5;;Bouteille (75cl);;;;;;Cabernet Franc 5%, Cabernet Sauvignon 45%, Merlot 50%;;
2237269;Vins;France;Bordeaux;Entre-deux-Mers;Loupiac;AOC;;Clos Champon-Ségur;;1985;13;1;Ma cave;4;A1;Blanc;0;0;0;0;2000;2014;0;0;Déclin;Intermédiaire;;;0;0;24;24;;Bouteille (75cl);;;;;;Sémillon 85%, Sauvignon Blanc 10%, Muscadelle 5%;;
2237203;Vins;France;Bordeaux;Graves;Pessac-Léognan ;AOC;;Château Pontet-Calloy;;2008;13;1;Ma cave;3;B2;Rouge;0;0;0;0;2018;2023;0;0;Déclin;Intermédiaire;;;0;0;23;23;;Bouteille (75cl);;;;;;Merlot 55%, Cabernet Sauvignon 40%, Cabernet Franc 5%;;
2236899;Vins;France;Bourgogne;Non spécifié;Non spécifié;AOC;;Pierre Maizière;;2020;13;1;Ma cave;2;B3;Rouge;0;0;0;0;2026;2029;0;0;Apogée;Intermédiaire;;;0;0;18;18;Baisse;Bouteille (75cl);;;;;;Chardonnay 100%;;
2237126;Vins;Italie;Campanie;Non spécifié;Non spécifié;DOC;;Nativ;Eremo San Quirico;2015;14;1;Ma cave;1;B2;Rouge;0;0;0;0;2023;2029;0;0;Apogée;Intermédiaire;;;0;0;35;35;;Bouteille (75cl);;;;;;Aglianico 100%;;
2237454;Vins Effervescent;France;Champagne;Champagne;Champagne;AOC;;G. Tribaut;Cuvée de Réserve;0;12;2;Ma cave;5;A1,A2;Blanc;0;0;0;0;2026;2029;0;0;Apogée;Intermédiaire;;;0;0;26,15;52,3;Hausse;Bouteille (75cl);;;;;;Pinot Noir 30%, Chardonnay 40%, Pinot Meunier 30%;;
2237474;Vins Effervescent;France;Champagne;Champagne;Champagne;AOC;;Charles Lafitte;Belle Cuvée;0;12;6;Ma cave;6;A1,A2,A3,A4,A5,A6;Blanc;0;0;0;0;2026;2029;0;0;Apogée;Intermédiaire;;;0;0;17,99;107,94;Stable;Bouteille (75cl);;;;;;Chardonnay 100%;;
2237485;Vins Effervescent;France;Champagne;Champagne;Champagne;AOC;;Vollereaux;Blanc de Blancs Brut;0;12;1;Ma cave;5;A3;Blanc;0;0;0;0;2032;2034;0;0;Jeunesse;Intermédiaire;;;0;0;34;34;;Bouteille (75cl);;;;;;Chardonnay 100%;;
2237513;Vins Effervescent;France;Champagne;Champagne;Champagne;AOC;;Deutz;Brut Classic;0;12;1;Ma cave;5;A6;Blanc;0;0;0;0;2026;2029;0;0;Apogée;Premium;;;0;0;40,43;40,43;Stable;Bouteille (75cl);;;;;;Pinot Noir 33%, Chardonnay 34%, Pinot Meunier 33%;;
